epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
162,12571.1,1.14085,1.10218,1.09056,0.89832,0.88057,0.92381,0.72302,1.26754,1.024,1.1044,0.000918342,0.000918342,0.000918342
163,12648.1,1.12823,1.09114,1.08788,0.90137,0.88038,0.92391,0.72319,1.26718,1.02449,1.10401,0.000873733,0.000873733,0.000873733
164,12725.2,1.12618,1.09522,1.08283,0.90149,0.88163,0.92459,0.72283,1.26717,1.02441,1.10399,0.000830142,0.000830142,0.000830142
165,12801.7,1.14042,1.09527,1.08957,0.89981,0.87954,0.92221,0.72301,1.26538,1.02496,1.10336,0.000787582,0.000787582,0.000787582
166,12878.7,1.12979,1.08878,1.08508,0.90143,0.88105,0.92331,0.72394,1.26524,1.02426,1.10331,0.000746062,0.000746062,0.000746062
167,12956.3,1.12221,1.07713,1.08016,0.90126,0.87929,0.92408,0.7241,1.26447,1.02481,1.10341,0.000705594,0.000705594,0.000705594
168,13034.1,1.10623,1.07262,1.07595,0.90123,0.87907,0.92384,0.72436,1.26362,1.02376,1.10298,0.000666186,0.000666186,0.000666186
169,13111.2,1.10941,1.07386,1.07826,0.90171,0.87818,0.9239,0.72426,1.26317,1.02408,1.10312,0.000627848,0.000627848,0.000627848
170,13187.9,1.12286,1.07593,1.07966,0.90212,0.87818,0.92407,0.72353,1.26274,1.02528,1.10298,0.000590591,0.000590591,0.000590591
171,13264.6,1.10041,1.0426,1.07363,0.90059,0.87818,0.92385,0.7228,1.26261,1.02572,1.10296,0.000554422,0.000554422,0.000554422
172,13341.3,1.10904,1.06949,1.07867,0.90047,0.87898,0.92329,0.7239,1.26184,1.02477,1.10256,0.000519352,0.000519352,0.000519352
173,13418,1.1109,1.06639,1.07709,0.90106,0.87898,0.9233,0.72411,1.262,1.02401,1.10281,0.000485389,0.000485389,0.000485389
174,13494.7,1.08777,1.03167,1.0695,0.90046,0.87898,0.92303,0.72389,1.26213,1.02377,1.10282,0.000452541,0.000452541,0.000452541
175,13571.4,1.09493,1.06125,1.07146,0.90097,0.88057,0.9241,0.7243,1.26161,1.02485,1.10285,0.000420816,0.000420816,0.000420816
176,13648.1,1.10115,1.06153,1.07087,0.89976,0.87907,0.92283,0.72381,1.26132,1.02461,1.10285,0.000390222,0.000390222,0.000390222
177,13724.7,1.10043,1.05914,1.07592,0.90074,0.87898,0.92284,0.72419,1.26066,1.02467,1.10277,0.000360766,0.000360766,0.000360766
178,13801.2,1.09656,1.0523,1.07781,0.90033,0.87898,0.92312,0.72382,1.26015,1.0248,1.10247,0.000332457,0.000332457,0.000332457
179,13878.1,1.10176,1.04696,1.07262,0.90137,0.87898,0.92289,0.72401,1.2601,1.02433,1.10274,0.000305301,0.000305301,0.000305301
